no,code,name,description,school_name,places_for_work
6,car_voc_0006,អ្នកបញ្ជាគ្រឿងចក្រ,អ្នកបញ្ជាគ្រឿងចក្រគឺជាអ្នកបំរើសេវាអតិថិជនដែលជាផ្នែកមួយនៃការបញ្ជាគ្រឿងចក្រ ក្នុងឈូសឆាយដី កាយដីជាស្រះទឹក និងធ្វើផ្លូវ ។ គាត់ជាអ្នកទទួលខុសត្រូវចំពោះគ្រឿងចក្រ ការពារ សុវត្ថិភាព រក្សាទុក និង  ថែទាំគ្រឿងចក្រ ជួសជុលបរិក្ខារគ្រឿងម៉ាស៊ីននៅពេលខូច និង​ ដឹកជញ្ជូន ។ គាត់ត្រូវជាមនុស្សមួយមានការតាំងចិត្តខ្ពស់ក្នុងការងារ និង អាចធ្វើការលើសម៉ោងបាន។,សាលាបើកបររថយន្ត និង សា្ថប័នឯកជន,ក្រុមហ៊ុនឯកជន អាជីវកម្មផ្ទាល់ខ្លួន 
7,car_voc_0007,អ្នកធ្វើគ្រឿងសង្ហារឹម,អ្នកធ្វើគ្រឿងសង្ហារឹម​គឺជាអ្នកកែច្នៃសម្ភារៈធ្វើអំពីឈើដូចជា តុ ទូ កៅអី ទ្វារ និងវត្ថុអនុស្សាវរីយ៍ផ្សេងៗជាច្រើនទៀត គឺសុទ្ឋសឹងជាស្នាដៃគ្រឿងសង្ហារឹម។ អាជីពនេះត្រូវមានគំនិតច្នៃប្រឌិត និងមានទេពកោសល្យក្នុងការកែច្នៃ។ ចំពោះចំណេះដឹងមូលដ្ឋានគណិត មានទំនាក់ទំនងជាមួយអតិថិជន​ចាំបាច់។,អង្គការការីតាសកម្ពុជា,ធ្វើសិប្បកម្មខ្លួនឯង; ក្រុមហ៊ុនឯកជន
8,car_voc_0008,អ្នកពន្លត់អគ្គិភ័យ,អ្នកពន្លត់អគ្គីភ័យ គឺជាអ្នកជួយសង្គ្រោះបឋមក្នុងការពន្លត់អគ្គីភ័យដែលកំពុងឆាប់ឆេះដែលអាចបង្កគ្រោះថ្នាក់គំរាមកំហែងដល់ជីវិតទ្រព្យសម្បត្តិនិងបរិស្ថាន។ការងារនេះសម្រាប់តែអ្នកមាននិស្ស័យពិតៗមានទំនួលខុសត្រូវខ្ពស់ ដោយពុំគិតពីជីវិតដើម្បីជួយសង្គ្រោះអ្នកដទៃ។ ចំពោះចំណេះដឹងជំនាញនេះទាមទារឲ្យដាក់ពាក្យចូលបំពេញការងារក្នុងភ្នាក់ងារពន្លត់អគ្គីភ័យ។​,ក្រសួងការពារជាតិ និងមហាផ្ទៃ,"ភ្ញាក់ងារជំនាញរបស់ក្រសួង
មហាផ្ទៃ"
,,,,សាលានគរបាលជាតិ ភូមិភាគ (រាជធានីក្រុង),
9,car_voc_0009,ជាងសំណង់,ជាងសំណង់ជាអ្នកបំរើសេវារៀបអាគារ ប្លង់របស់វិស្វករដូចជា៖ស្ពាន អគារខ្ពស់ៗ អាគារទំនើបៗ សុទ្ធសឹងតែកើតឡើងដោយស្នាដៃរបស់គេ។ ជំនាញនេះត្រូវមានទំនាក់ទំនងល្អជាមួយក្រុមការងារ មានគំនិតច្នៃប្រឌិត និងចេះការពារសុវត្តិភាពដោយខ្លួនឯង។គាត់ត្រូវមានកំលាំងខ្លាំងក្លា និងសុខភាពមាំមួួន មានទំនួលខុសត្រូវសាងសង់ និងថែទាំសម្ភារៈសំនង់ផ្សេង។ ចំណែកចំណេះដឹងមិនចំាបាច់ទេ។,មេជាងសំណង់ និងការដ្ឋានសំណង់,ក្រុមហ៊ុនឯកជន ក្រុមហ៊ុនម៉ៅការសាងសង់ និងអាជីវកម្មផ្ទាល់ខ្លួន 
10,car_voc_0010,ជាងប្រព័ន្ធទឹក,ជាងប្រព័ន្ធទឹកជាអ្នកតបណ្ដាញទឹកទៅតាមផ្ទះ ឬកន្លែងផ្សេងៗទៀតទៅតាមតម្រូវការរបស់អតិថិជន ដោយផ្លាស់ប្ដូរឬជួសជុលរ៉ូប៊ីនេដែលខូច។ គាត់ជាអ្នកតំលើង និងជួសជុលឧបករណ៍នៅក្នុងបន្ទប់ទឹក។ ជំនាញនេះទាមទារការបណ្ដុះបណ្ដាលកម្រិតបរិញ្ញាបត្រ។ គាត់ត្រូវមានគំនិតច្នៃប្រឌិត និងមានបច្ចេកទេសថ្មីៗ និងចេះតបណ្ដាញទឹក ជាមួយនឹងជាងសំណង់និង ជាងភ្លើង។ ,វិទ្យាស្ថាន​បច្ចេកវិទ្យាកម្ពុជា,ក្រសួងឧស្សាហកម្ម និងថាមពលរដ្ឋាទឹក និងក្រុមហ៊ុនឯកជន អាជីវកម្មផ្ទាល់ខ្លួន 
11,car_voc_0011,ជាងលាបថ្នាំ,ជាងលាបថ្នាំជាអ្នកបំរើសេវាលាបថ្នាំអាគារឱ្យកាន់តែសោភ័ណភាព និងមានភាពទាក់ទាងអារម្មណ៍។ ជំនាញនេះត្រូវបណ្ដុះបណ្ដាលពីវិធីសាស្រ្តលាបថ្នាំ និងរបៀបលាយថ្នាំ។ គាត់ត្រូវធ្វើការលាបពណ៌ទៅតាមតម្រូវចិត្តរបស់ភ្ញៀវ គាត់ត្រូវមានសុខភាពល្អ ចេះធ្វើការងារជាក្រុម និងចេះការពារសុវត្ថិភាពដោយខ្លួនឯង។,ការដ្ឋានសំណង់,ក្រុមហ៊ុនឯកជន​និងអាជីវកម្មផ្ទាល់ខ្លួន 
12,car_voc_0012,អ្នកថែទាំកុមារ,អ្នកថែទាំកុមារជាអ្នកបំពេញការងារក្នុងអង្គការ ឬមណ្ឌលកុមារកំព្រាតាមបណ្ដាលខេត្ត និងរាជធានី។ គាត់មានសញ្ញាបត្របណ្ដុះបណ្ដាលកម្រិត បរិញ្ញាបត្ររង និងបរិញ្ញាបត្រផ្នែកចិត្តវិទ្យា សង្គមវិទ្យា​   គាត់មើលថែកុមារដែលជាធម្មតាចាប់ពីអាយុ 6 សប្តាហ៍ដល់អាយុ 13 ឆ្នាំ។ ការថែទាំកុមារគឺជាសកម្មភាពឬជំនាញថែរក្សាកុមារដោយមជ្ឈមណ្ឌលថែរក្សាកុមារ គិលានុបដ្ឋាយិកា អ្នកថែទាំក្មេង គ្រូបង្រៀនឬអ្នកផ្តល់សេវាផ្សេងទៀត។ អ្នកផ្តល់សេវាថែទាំកុមារអាចក្លាយជាគ្រូបង្រៀនដំបូងរបស់ក្មេងៗ ដូច្នេះពួកគេដើរតួយ៉ាងសំខាន់នៅក្នុងប្រព័ន្ធអប់រំកុមារតូច។ គាត់ជាមនុស្សយកចិត្តទុកដាក់ អត់ធ្មត់ ព្យាយាម ជាពិសេសស្រលាញ់ក្មេងៗ។,1. សាកលវិទ្យាល័យភូមិន្ទភ្នំពេញ,អង្គការក្រៅរដ្ឋាភិបាល និងស្ថាបន័រដ្ឋសង្គមកិច្ច
,,,,អង្គការចិត្តសង្គម អន្តរវប្បធម៌,
13,car_voc_0013,គ្រូបង្រៀនជនពិការ,គ្រូបង្រៀនជនពិការ គឺជាអ្នកបំពេញការងារជាអ្នកបង្រៀនភាសាសញ្ញា និងបច្ចេកទេសប្រើប្រាស់ភាសាទៅឲ្យជនពិការ។គាត់ជាអ្នកបំពេញការងារនៅតាមអង្គការផ្នែកពិការភាព។ គាត់បណ្ដុះបណ្ដាលពីភាសាសញ្ញាក្នុងការទំនាក់ទំនងជាមួយនឹងក្រុមការងារ។ ការងារនេះតម្រូវឲ្យបណ្ដុះបណ្ដាល ភាសាសញ្ញា   គាត់គឺជាមនុស្សអត់ធ្មត់ ព្យាយាម និង មានចិត្តទូលាយ។ គាត់ត្រូវមានភារកិច្ចធ្វើកិច្ចតែងការបង្រៀន ផលិតសម្ភារឧបទ្ទេស ស្រាវជ្រាវ និងបង្រៀនសិស្សប្រកបដោយក្រមសីលធម៌ និងវិជ្ជាជីវៈខ្ពស់ ។ ,1. សាកលវិទ្យាល័យភូមិន្ទភ្នំពេញ,អង្គការក្រៅរដ្ឋាភិបាល និងស្ថាបន័រដ្ឋសង្គមកិច្ច
14,car_voc_0014,អ្នកបណ្ដុះបណ្ដាលវិជ្ជាជីវៈ,អ្នកបណ្ដុះបណ្ដាលវិជ្ជាជីវៈគឺជាអ្នកបំពេញការងារជាមន្រី្តបណ្ដុះបណ្ដាលជំនាញដល់សហគមន៍ដែលពាក់ព័ន្ធជាមួយនឹងចំណេះដឹង អភិវឌ្ឍន៍សហគមន៍ ជំនាញ ទៅតាមស្ថាប័ននានា។ អាជីពនេះទាមទារឲ្យគាត់មានជំនាញច្បាស់លាស់លើជំនាញរបស់ខ្លួន និងមានសមត្ថភាពចែករំលែកចំណេះដឹងដល់សិក្ខាមចូលរួមបណ្ដុះបណ្ដាល។ ជំនាញនេះសិក្សារយៈពេល ១ឆ្នាំ ទៅ ២ឆ្នាំ​ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាបត្រតាមជំនាញរបស់ខ្លួនកាន់តែល្អប្រសើរ ។ បុគ្គលិកចេះប្រើភាសាអង់គេ្លស និងមានចំណេះដឹងកុំព្យូទ័រកាន់តែប្រសើរ។​,1. សាកលវិទ្យាល័យភូមិន្ទភ្នំពេញ,អង្គការក្រៅរដ្ឋាភិបាល ក្រុមហ៊ុនឯកជន 
,,,,2. សាកលវិទ្យាល័យភូមិន្ទកសិកម្មចំការដូង,
,,,,11. សាកលវិទ្យាល័យ ជា ស៊ីម កំចាយមារ,
