no,code,name,description,school_name,places_for_work
4,car_tec_0004,អ្នកគ្រប់គ្រងការសាងសង់,អ្នកគ្រប់គ្រងការសាងសង់ ត្រួតពិនិត្យ​សកម្មភាព​ការងារ​ប្រចាំថ្ងៃ​នៅ​ការដ្ឋានសំណង់​។ ពួកគេ​ចាត់ចែង​សម្រួល ​ទំនាក់ទំនង​រវាង​ក្រុមហ៊ុន​ម៉ៅការ​ ​អ្នកម៉ៅការ​ ​បន្ត​ ​និង​ភាគី​ផ្សេងៗទៀត​ដែលពាក់ព័ន្ធនឹង​ការដ្ឋាន​ សំណង់​ ​​។ ​នៅក្នុងការងារនេះ​ អ្នកគ្របគ្រង​ត្រូវធ្វើឲ្យ​ប្រាកដថា​ ​ការដ្ឋានសំណង់​ ឆ្លើយតប​ទៅតាម​បទបញ្ញត្តិ​សាងសង់​ដែលច្បាប់អនុញាតិទេ? គាត់ ឬនាង ​ក៏ជួយសម្រប​សម្រួល​ ដល់បុគ្គលិកទាំងអស់​ដែលធ្វើ​ ការងារ​ក្នុងការដ្ឋាន​ ​សំណង់​ ​ដើម្បីធានាថា ​ដំណាក់កាល​ នីមួយៗ​នៃការសាងសង់​ឆ្លើយតប​ទៅតាម​ពេលកំណត់​ ​និង​ត្រួតពិនិត្យ​ រាល់ការងារ​ដែលកំពុងធ្វើ​ ដើម្បីឆ្លើយតប​ទៅតាម​បទដ្ឋានគុណភាព​។​,57. សាកលវិទ្យាល័យ ន័រតុន,ក្រុមហ៊ុនឯកជន ស្ថាប័នរដ្ឋ  ប្រកបអាជីវកម្មខ្លួនឯង
,,,,59. សាកលវិទ្យាល័យ ប៊ែលធីអន្តរជាតិ,
5,car_tec_0005,អ្នកបង្កើត​សូហ្វវែ,អ្នកបង្កើតកម្មវិធី​សូហ្វវែ ដែលត្រូវបានចាត់ទុក​ជាអ្នកបង្កើត​កម្មវិធី​កុំព្យូទ័រ​ផងដែរនោះគឺជាអ្នក​ដែលធ្វើការងារ​ពាក់ព័ន្ធនឹង​ផ្នែកព័ត៌មានវិទ្យា​។ ពួកគេបង្កើតកម្មវិធី​សម្រាប់យក​ទៅប្រើប្រាស់​នៅតាមក្រុមហ៊ុនឯកជន អង្គភាពសាធារណៈ​និងស្ថាប័នផ្សេងៗទៀត​ដែលត្រូវការ​។​ការងារ​របស់ពួកគេ​មានចាប់ពីរចនាអនុវត្តជាក់ស្តែងដំឡើងនិង​គ្រប់គ្រង​ប្រព័ន្ធសូហ្វវែ​នៅតាមស្ថាប័នព្រមទាំង​ការគ្រប់គ្រង​ប្រព័ន្ធទូរស័ព្ទ​ផងដែរ​។គោលដៅ​ចម្បង​របស់ពួកគេ​គឺ​បង្កើតកម្មវិធី​កុំព្យូទ័រ ដែលធ្វើឲ្យ​ប្រព័ន្ធកុំព្យូទ័រ​ដំណើរការព័ត៌មាន​ក្នុងលក្ខណៈ​សមស្រប ដោយបង្ហាញ​ដំណើរការ​ពីដំណាក់ កាលមួយ​ទៅដំណាក់កាល​មួយយ៉ាងជាក់លាក់​។ពួកគេ​មាន​ភាពស្ទាត់ជំនាញ​ក្នុងការរៀបចំ​កម្មវិធីភាសាផ្សេងៗ​ដូចជាកម្មវិធី Java កម្មវិធី XML និងកម្មវិធី C++ ។,6. សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,ក្រុមហ៊ុនឯកជន ប្រកបអាជីវកម្មខ្លួនឯង
,,,,86. វិទ្យាស្ថានស៊ីតិក,នៅតាមក្រុមហ៊ុន ពណ៌មានបច្ចេកវិទ្យាឯកជន នានា
,,,,70. សាកលវិទ្យាល័យលីមកុកវីង យូនឺវឺស៊ីធី អហ្វ គ្រេអេទីវ តិចណូឡូជី,
,,,,សាកលវិទ្យាល័យអាមេរិកាំងភ្នំពេញ,
6,car_tec_0006,អ្នកបង្កើតគេហទំព័រ,យោងទៅតាមការវិវត្តនៃសម័យកាល គេហទំព័រក្លាយជាទីពេញនិយមនៃមនុស្សគ្រប់គ្នា។ អ្នកបង្កើតនិងរចនាគេហទំព័រដើរតួយ៉ាងសំខាន់ក្នុងការតុបតែងទំព័រឱ្យបានស្អាតដើម្បីជាទីចាប់អារម្មណ៍របស់អ្នកគ្រប់គ្នា។ គេត្រូវចេះប្រើប្រាស់កម្មវិធីដែលទាក់ទងនឹងការបោះពុម្ពនៅក្នុងកុំព្យូទ័រ យ៉ាងស្ទាត់ជំនាញ។ គេត្រូវចេះមើលពណ៌ ចេះគូរ ចេះកាត់ត និងចេះធ្វើគំនូសព្រាងអត្ថបទ។ ការងារនេះទាមទារមនុស្សដែលមានគំនិតច្នៃប្រឌិត ឆ្លាត ឧស្សាហ៍ ព្យាយាម ហើយចេះអត់ធ្មត់ ព្រោះការងារនេះមានការបន្ទាន់ត្រូវធ្វើច្រើន។ ,6. សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,ក្រុមហ៊ុនឯកជន ស្ថាប័នរដ្ឋ ប្រកបអាជីវកម្មខ្លួនឯង
,,,,86. វិទ្យាស្ថានស៊ីតិក,
,,,,70. សាកលវិទ្យាល័យលីមកុកវីង យូនឺវឺស៊ីធី អហ្វ គ្រេអេទីវ តិចណូឡូជី,
7,car_tec_0007,អ្នករចនាក្រាហ្វិច,តើអ្នកដឹងទេថា ឡូហ្គោ ស្លាកសញ្ញា និមិត្តសញ្ញាក្រុមហ៊ុន ផ្ទាំងផ្សាយពាណិជ្ជកម្ម ដែលយើងទាំងអស់គ្នាតែងតែឃើញរាល់ថ្ងៃមានប្រភពមកពីណា? អ្នកណាអ្នកបង្កើត?វាគឺរឿងសំខាន់ក្នុងការបង្កើតជានិមិត្តសញ្ញាដើម្បីឱ្យអ្នកទាំងអស់គ្នា ចាប់អារម្មណ៍ និង ចងចាំ។ អ្នករចនាក្រាហ្វិចគឺជាអ្នកជំនាញក្នុងការបង្កើតវត្ថុទាំងនោះ។គាត់ គឺជាអ្នកដែលមានគំនិតច្នៃប្រឌិតខ្ពស់ និង មានជំនាញផ្នែកកុំព្យូទ័រ។ ការងារនេះទាមទារមនុស្សដែលមានគំនិតថ្មីៗក្នុងការច្នៃប្រឌិត ឆ្លាត ឧស្សាហ៍ ព្យាយាម ហើយចេះអត់ធ្មត់។,6. សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,ក្រុមហ៊ុនឯកជន  ប្រកបអាជីវកម្មខ្លួនឯង
,,,,70. សាកលវិទ្យាល័យលីមកុកវីង យូនឺវឺស៊ីធី អហ្វ គ្រេអេទីវ តិចណូឡូជី,
8,car_tec_0008,អ្នកបច្ចេកទេសគំនូរជីវចល,"អ្នកបច្ចេកទេសគំនូរជីវចល គឺមានចំនេះដឹងល្អលើបច្ចេកទេសជំនាញនៃចង្វាក់របស់ការផលិតនៅក្នុងខ្សែភាពយន្តគំនូរជីវចល(មុនការផលិត / ពេលកំពុងផលិត / ក្រោយពេលការផលិត)។ ការងារនេះត្រូវយល់និងមានចំនេះដឹងល្អលើ សក្តានុពលនៃចលនាការសរសេរសេណារីយូការធ្វើទៅលើជារូបភាពសម្លេងនិងសម្ភារៈបច្ចេកវិទ្យាដែលប្រើប្រាស់ជាពិសេសសម្រាប់គំនូរជីវចល(Flash, Photoshop, After effects, ដំបូង​មុនគេ​​ និង ការផ្តួចផ្តើមពីបច្ចេកទេស 3D)។ការងារនេះទាមទារឱ្យមានព្យាយាម និងមានគំនិតច្នៃប្រឌិត។ ",6. សាកលវិទ្យាល័យភូមិន្ទវិចិត្រសិល្បៈ,ក្រុមហ៊ុនឯកជន  ប្រកបអាជីវកម្មខ្លួនឯង
