,
1,សាលាជំនាន់ថ្មីវិទ្យាល័យព្រះស៊ីសុវត្ថិ
2,វិទ្យាល័យជាស៊ីមព្រែកអញ្ចាញ
3,វិទ្យាល័យព្រែកលៀប
4,វិទ្យាល័យសម្តេចតេជោហ៊ុនសែនសណ្តែក
5,វិទ្យាល័យហោណាំហុងព្រៃញា
6,វិទ្យាល័វិទ្យាល័យហ៊ុនសែនកំពង់ចាមយល្វា
7,វិទ្យាល័យហ.សពាមជីកង
8,អនុវិទ្យាល័យហ.សទួលសុភី
9,វិទ្យាល័យហ.សក្រូចឆ្មារ
10,វិទ្យាល័យសម្តេចហ៊ុនសែនប៉ើសពីរ
11,វិទ្យាល័យប៊ុនរ៉ានីហ៊ុនសែនអម្ពវ័នជំនីក
12,វិទ្យាល័យជីហែ
13,វិទ្យាល័យក្រុមព្រះមហាលាភ
14,ផ្សេងៗ
